auction_id,titulo,cat,pais,retail,piezas,puja_actual,recuperacion,ingreso_esperado,puja_max,margen_para_pujar,sell_through,rotacion_d,calidad,match
51597,"Small Truckload of Lighting, Housewares & More","Lighting, Housewares",DE,53074.0,2065.0,5225.0,24.75981342827433,13141.023378922318,2902.8,-2322.2,51.082187364200905,364.0,datos,Lighting(exacta); Housewares(exacta)
51511,"4 Pallets of Auto Goods, Home Improvement & Mo","Auto Goods, Home Improvement",DE,29376.0,960.0,2105.0,19.10405129047176,5612.006107088984,654.0,-1451.0,47.873179224038154,371.0,datos,Spare & Repair Parts Car & Truck(alias); Home Improvement(depto)
51474,"Small Truckload of Home Improvement, Auto Good","Home Improvement, Auto Goods",ES,23986.0,201.0,2058.0,19.10405129047176,4582.297742532556,739.15,-1318.85,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
51607,"4 Pallets of Games, Building Sets & More, 589 ","Games, Building Sets",UK,,589.0,,21.12835456286443,,,,41.711229946524064,317.0,datos,Games(exacta); Building Sets(exacta)
51577,"Truckload of Furniture, Lawn and Garden & More","Furniture, Lawn and Garden",PL,22049.0,344.0,1358.0,35.19777696686239,7760.757843423489,1346.16,-11.839999999999918,76.89226458871428,269.0,datos,Furniture(exacta); Lawn and Garden(depto)
51590,"Small Truckload of Home Goods, Office Products","Home Goods, Office Products",PL,33844.0,765.0,1875.0,24.031715526945305,8133.293802939369,1636.85,-238.1500000000001,,,global,(global)
51610,"4 Pallets of Games, Learning & Exploration & M","Games, Learning & Exploration",DE,19950.0,698.0,100.0,12.160636184557108,2426.0469188191432,0.0,-100.0,29.418344519015662,317.0,datos,Games(exacta); Learning & Exploration(exacta)
51616,"Small Truckload of Exterior Care, Coolant/Anti","Exterior Care, Coolant/Anti-Freeze",UK,,1957.0,,24.031715526945305,,,,,,global,(global)
51425,"4 Pallets of Toys, Sporting Goods & More, 778 ","Toys, Sporting Goods",PL,23280.0,778.0,2545.0,34.69615938509006,8077.265904848967,1170.73,-1374.27,52.27272727272727,272.5,datos,Toys(exacta); Exercise & Fitness(alias)
51557,"Small Truckload of Lawn and Garden, Home Goods","Lawn and Garden, Home Goods",ES,18254.0,321.0,1625.0,38.951533558918555,7110.212935844993,1378.21,-246.78999999999996,70.76566125290023,366.0,datos,Lawn and Garden(depto)
51436,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,DE,,,13550.0,24.031715526945305,,,,,,global,(global)
51461,"Small Truckload of Home Improvement, Auto Good","Home Improvement, Auto Goods",UK,,2252.0,,19.10405129047176,,,,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
51471,"Small Truckload of Laundry, Floorcare & More, ","Laundry, Floorcare",ES,22216.0,127.0,2205.0,18.316119420162583,4069.109090383319,609.42,-1595.58,60.47945205479452,420.0,datos,Laundry(exacta); Floorcare(exacta)
51593,"4 Pallets of Auto Goods, Home Improvement & Mo","Auto Goods, Home Improvement",DE,27664.0,911.0,1735.0,19.10405129047176,5284.944748996108,571.31,-1163.69,47.873179224038154,371.0,datos,Spare & Repair Parts Car & Truck(alias); Home Improvement(depto)
51628,"Truckload of Lawn and Garden, Furniture & More","Lawn and Garden, Furniture",PL,30373.0,492.0,1025.0,35.19777696686239,10690.620798145115,2086.82,1061.8200000000002,76.89226458871428,269.0,datos,Lawn and Garden(depto); Furniture(exacta)
51564,"4 Pallets of Personal Care, Beauty & More, 975","Personal Care, Beauty",IT,30145.0,975.0,3025.0,15.530823298816607,4681.766683428266,457.55,-2567.45,41.151685393258425,431.0,datos,Shaving & Hair Removal Appliances(alias); Beauty(depto)
50884,"Truckload of Housewares, Lighting & More, 928 ","Housewares, Lighting",PL,41829.0,928.0,2525.0,24.75981342827433,10356.78235891287,2002.43,-522.5699999999999,51.082187364200905,364.0,datos,Housewares(exacta); Lighting(exacta)
51626,"4 Pallets of Hair Care Appliances, Oral Care A","Hair Care Appliances, Oral Care Ap",ES,23768.0,274.0,100.0,27.12861332528096,6447.928815152778,1630.04,1530.04,77.38111306069196,431.0,datos,Hair Care Appliances(exacta); Oral Care Appliances(exacta)
51486,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,3635.0,24.031715526945305,,,,,,global,(global)
51568,"4 Pallets of Home Goods, Kitchen & More, 452 P","Home Goods, Kitchen",IT,14021.0,452.0,853.0,24.889899174002412,3489.812763186878,156.22,-696.78,75.06127450980392,400.0,datos,Kitchen(depto)
51539,"4 Pallets of Auto Goods, Home Improvement & Mo","Auto Goods, Home Improvement",UK,,607.0,,19.10405129047176,,,,47.873179224038154,371.0,datos,Spare & Repair Parts Car & Truck(alias); Home Improvement(depto)
51429,"Small Truckload of Housewares, Lighting & More","Housewares, Lighting",DE,40707.0,1671.0,4913.0,24.75981342827433,10078.977252247632,2128.71,-2784.29,51.082187364200905,364.0,datos,Housewares(exacta); Lighting(exacta)
51627,"Small Truckload of Personal Care, Beauty & Mor","Personal Care, Beauty",DE,159613.0,4129.0,5025.0,15.530823298816607,24789.212991940152,5847.46,822.46,41.151685393258425,431.0,datos,Shaving & Hair Removal Appliances(alias); Beauty(depto)
51553,"4 Pallets of Home Improvement, Auto Goods & Mo","Home Improvement, Auto Goods",ES,27572.0,852.0,2135.0,19.10405129047176,5267.369021808874,1331.59,-803.4100000000001,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
51508,"Truckload of Office Products, Video Games & Mo","Office Products, Video Games",PL,85756.0,544.0,7750.0,10.136792413347841,8692.907701990574,1581.8,-6168.2,0.0,29.0,datos,Video Games(depto)
50896,"4 Pallets of Toys, Sporting Goods & More, 672 ","Toys, Sporting Goods",PL,22492.0,672.0,935.0,34.69615938509006,7803.860168894457,1101.62,166.6199999999999,52.27272727272727,272.5,datos,Toys(exacta); Exercise & Fitness(alias)
51612,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,1525.0,24.031715526945305,,,,,,global,(global)
51500,"Small Truckload of Housewares, Lighting & More","Housewares, Lighting",PL,17887.0,362.0,1025.0,24.75981342827433,4428.787827915429,700.35,-324.65,51.082187364200905,364.0,datos,Housewares(exacta); Lighting(exacta)
51611,"Small Truckload of Personal Care, Beauty & Mor","Personal Care, Beauty",DE,159273.0,5018.0,9175.0,15.530823298816607,24736.408192724175,5834.11,-3340.8900000000003,41.151685393258425,431.0,datos,Shaving & Hair Removal Appliances(alias); Beauty(depto)
51515,"4 Pallets of Games, Learning & Exploration & M","Games, Learning & Exploration",DE,19774.0,626.0,1125.0,12.160636184557108,2404.6441991343227,0.0,-1125.0,29.418344519015662,317.0,datos,Games(exacta); Learning & Exploration(exacta)
51524,"4 Pallets of Electronics, Home Entertainment &","Electronics, Home Entertainment",DE,17934.0,304.0,2025.0,14.423304212206903,2586.675377417186,0.0,-2025.0,38.95348837209303,275.5,datos,Electronics(depto); Home Entertainment(exacta)
50869,"Small Truckload of Baby Products, Sporting Goo","Baby Products, Sporting Goods",ES,22444.0,202.0,3400.0,47.226011874809686,10599.406105182286,2260.28,-1139.7199999999998,50.0,181.0,datos,Exercise & Fitness(alias)
51620,"4 Pallets of Sporting Goods, Video Games & Mor","Sporting Goods, Video Games",IT,31712.0,770.0,100.0,28.681402144078767,9095.446247930258,1573.33,1473.33,25.0,105.0,datos,Exercise & Fitness(alias); Video Games(depto)
51623,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,100.0,24.031715526945305,,,,,,global,(global)
50893,"4 Pallets of Massage & Relaxation Appliances, ","Massage & Relaxation Appliances, H",PL,11996.0,151.0,1750.0,27.9276335895549,3350.198925403006,0.0,-1750.0,71.32809118453325,431.0,datos,Massage & Relaxation Appliances(exacta); Hair Care Appliances(exacta)
